Tarih,Chiller_Set_Temp_C,Chiller_Adet,Absorption_Chiller_Adet,Kazan_Adet,Mas1_Isitma_Temp,Mas1_Kazan_Temp,Mas1_Sogutma_Temp,Mas2_Isitma_Temp,Mas2_Kazan_Temp,Mas2_Sogutma_Temp,Kar_Eritme_Aktif,Sebeke_Tuketim_kWh,Kojen_Uretim_kWh,Kazan_Dogalgaz_m3,Kojen_Dogalgaz_m3,Su_Tuketimi_m3,Chiller_Tuketim_kWh,MCC_Tuketim_kWh,VRF_Split_Tuketim_kWh,Dis_Hava_Sicakligi_C,Toplam_Hastane_Tuketim_kWh,Toplam_Sogutma_Tuketim_kWh,Diger_Yuk_kWh
2023-06-22,,2,1,0,70.0,60.0,11.0,67.0,60.0,9.0,False,18734.0,51577.0,0.0,13051.0,408.0,9745.12,,,21.4,70311.0,9745.12,60565.88
2023-06-23,,2,1,0,60.0,59.0,11.0,55.0,52.0,9.0,False,21114.0,51846.0,0.0,13136.0,660.0,8756.58,,,21.4,72960.0,8756.58,64203.42
2023-06-24,,2,1,0,71.0,61.0,9.0,68.0,60.0,8.0,False,14707.0,39872.0,0.0,12499.0,435.0,10675.7,,,21.4,54579.0,10675.7,43903.3
2023-06-25,,2,1,0,80.0,60.0,11.0,76.0,61.0,8.0,False,11799.0,61103.0,0.0,12736.0,411.0,7712.1,,,21.4,72902.0,7712.1,65189.9
2023-06-26,,2,1,0,81.0,60.0,8.0,78.0,60.0,8.0,False,57577.0,8416.0,1819.0,2193.0,592.0,11214.12,,,21.4,65993.0,11214.12,54778.88
2023-06-27,,2,1,0,80.0,60.0,8.0,78.0,60.0,9.0,False,67027.0,0.0,8699.0,0.0,370.0,14149.27,,,21.4,67027.0,14149.27,52877.729999999996
2023-06-28,,2,1,0,79.0,60.0,8.0,79.0,60.0,9.0,False,61717.0,0.0,3.0,0.0,316.0,13865.61,,,21.4,61717.0,13865.61,47851.39
2023-06-29,,2,1,0,80.0,60.0,8.0,78.0,60.0,9.0,False,59657.0,0.0,2988.0,0.0,274.0,8550.0,,,21.4,59657.0,8550.0,51107.0
2023-06-30,,2,1,0,81.0,59.0,8.0,79.0,60.0,9.0,False,58726.0,6.0,2988.0,0.0,326.0,8050.0,,,21.4,58732.0,8050.0,50682.0
2023-07-01,,3,1,0,68.0,56.0,9.4,64.0,53.0,8.9,False,59450.0,0.0,2840.0,0.0,364.0,6900.0,,,25.7,59450.0,6900.0,52550.0
