Tarih,Analiz_Zamani,Toplam_AHU,Toplam_FCU,Sogutma_Modu_Adet,Isitma_Modu_Adet,Ort_Delta_T,Min_Delta_T,Max_Delta_T,Ort_Vana_Acikligi,Kritik_Sorun_Adet,Uyari_Adet,Optimal_Adet,Sogutma_Modu_Yuzde,Isitma_Modu_Yuzde,Esit_Zamanli_Isitma_Sogutma,Dusuk_DeltaT_Adet,SAT_Sorun_Adet,Analiz_CSV_Dosyasi,AHU_Ort_Sogutma_Vana,AHU_Ort_Isitma_Vana,AHU_Sogutma_Kapasite,AHU_Isitma_Kapasite
2026-01-20,1/20/2026 22:51,23,3,5,10,9.04,3.0,23.0,56.8,9,13,8,16.7,33.3,True,0,21,hvac_analysis_20260120_225112_60bab8f8.csv,,,,
2026-01-21,1/21/2026 16:21,39,0,2,32,9.74,3.0,13.0,67.1,10,24,9,4.7,74.4,False,0,24,hvac_analysis_20260121_162110_7c755b6f.csv,,,,
2026-01-22,1/22/2026 9:42,39,0,3,32,10.75,2.0,12.0,52.4,10,26,8,6.8,72.7,True,1,29,hvac_analysis_20260122_094241_4f6bda27.csv,,,,
2026-01-23,1/23/2026 11:21,39,0,4,31,13.44,2.5,15.0,47.5,8,27,9,9.1,70.5,False,1,29,hvac_analysis_20260123_112122_1f2f0761.csv,,,,
2026-01-26,1/26/2026 11:07,39,0,8,18,9.3,4.0,11.0,39.5,9,16,18,18.6,41.9,False,0,20,hvac_analysis_20260126_110743_8af0acbb.csv,,,,
2026-01-27,1/27/2026 9:30,39,0,9,21,12.46,3.0,15.0,29.9,8,20,16,20.5,47.7,False,0,22,hvac_analysis_20260127_093059_b7126ea2.csv,,,,
2026-01-28,1/28/2026 17:29,0,0,0,0,10.53,4.0,12.0,36.1,21,0,22,0.0,0.0,False,0,21,hvac_analysis_20260128_172946_b2849fe6.csv,,,,
2026-01-29,1/29/2026 17:45,0,0,7,23,12.26,2.0,15.0,32.7,8,22,14,15.9,52.3,True,1,27,hvac_analysis_20260129_174507_5166ca2a.csv,,,,
2026-01-30,1/30/2026 17:48,0,0,1,0,4.0,4.0,4.0,60.0,1,0,0,100.0,0.0,False,0,1,hvac_analysis_20260130_174825_c82c48c9.csv,,,,
2026-02-02,2/2/2026 14:52,39,0,4,28,7.68,4.2,13.0,55.0,14,0,30,9.1,63.6,False,0,14,hvac_analysis_20260202_145229_8858cdd9.csv,37.0,57.6,YETERLI,NORMAL
2026-02-04,2026-02-04 23:48:11,4,0,2,1,7.57,5.0,10.0,71.7,0,4,4,25.0,12.5,False,0,1,hvac_analysis_20260204_234811_65a19474.csv,72.5,70.0,DIKKAT,DIKKAT
2026-02-05,2026-02-05 22:38:19,39,0,15,24,8.3,4.0,10.0,36.1,9,3,31,34.9,55.8,False,0,9,hvac_analysis_20260205_223819_fd83539d.csv,24.4,43.3,YETERLI,YETERLI
2026-02-06,2026-02-06 12:15:54,39,0,14,15,7.11,4.5,12.0,33.5,5,3,35,32.6,34.9,False,0,6,hvac_analysis_20260206_121554_9e040010.csv,23.3,42.9,YETERLI,YETERLI
2026-02-07,2026-02-07 11:50:38,39,0,0,0,5.72,2.8,9.7,33.4,8,2,33,0.0,0.0,False,12,8,hvac_analysis_20260207_115038_89b045b3.csv,26.6,36.6,YETERLI,YETERLI
2026-02-09,2026-02-09 16:32:46,39,0,0,0,3.26,3.0,12.0,54.8,15,2,26,0.0,0.0,False,0,16,hvac_analysis_20260209_163245_a7117108.csv,49.0,55.7,YETERLI,NORMAL
2026-02-10,2026-02-10 16:17:50,39,0,0,0,7.9,3.4,10.9,56.2,13,3,27,0.0,0.0,False,0,14,hvac_analysis_20260210_161750_ed93f88e.csv,39.6,58.9,YETERLI,NORMAL
2026-02-11,2026-02-11 15:30:41,39,0,5,26,5.88,3.7,10.0,53.5,15,2,26,11.6,60.5,False,0,16,hvac_analysis_20260211_153041_e27ebb67.csv,41.8,55.7,YETERLI,NORMAL
2026-02-12,2026-02-12 13:02:13,39,0,7,29,11.93,3.7,14.0,40.7,12,4,27,16.3,67.4,False,0,14,hvac_analysis_20260212_130213_93142b36.csv,44.4,39.8,YETERLI,YETERLI
2026-02-13,2026-02-13 13:25:39,39,0,8,25,10.67,4.6,14.0,33.0,6,6,31,18.6,58.1,True,0,8,hvac_analysis_20260213_132539_3c94268c.csv,18.5,36.0,YETERLI,YETERLI
2026-02-16,2026-02-16 10:40:47,39,0,17,14,3.31,2.7,6.0,34.0,5,3,36,38.6,31.8,False,1,7,hvac_analysis_20260216_104047_aa343b70.csv,26.2,40.7,YETERLI,YETERLI
2026-02-17,2026-02-17 16:35:50,57,0,21,19,3.58,3.2,20.0,52.9,9,8,44,34.4,31.1,True,0,15,hvac_analysis_20260217_163550_8604c934.csv,58.8,40.9,NORMAL,YETERLI
2026-02-21,2026-02-21 10:36:16,57,0,17,26,2.79,2.3,11.2,56.5,8,14,40,27.4,41.9,False,48,9,hvac_analysis_20260221_103616_d434e4e8.csv,77.1,43.6,DIKKAT,YETERLI
2026-03-05,2026-03-05 21:31:42,39,0,15,24,8.3,4.0,10.0,36.1,9,3,31,34.9,55.8,False,0,9,hvac_analysis_20260305_213142_7affd924.csv,24.4,43.3,YETERLI,YETERLI
