Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Valve Δ%,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C)
AHU:AHU-04,AHU,AHU-04,IN_BAND,CRITICAL,6.00,5.00,5.00,,±3.0,NOT_COOLING,16.5,9.0,KRİTİK: Soğutmuyor,Üfleme (19.0°C) > 18.0°C. Vana veya chiller kontrolü gerekli.,,NOT_COOLING,Inlet/Outlet (Water),+10.00,+9.00,9.0,15.0,20.0
AHU:AHU-05,AHU,AHU-05,IN_BAND,CRITICAL,10.00,1.00,5.00,,±5.0,NOT_HEATING,22.0,9.0,KRİTİK: Isıtmıyor,Üfleme (24.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+41.00,+32.00,9.0,15.0,20.0
AHU:AHU-06,AHU,AHU-06,HIGH,CRITICAL,10.00,1.00,5.00,,,NOT_HEATING,25.0,9.0,KRİTİK: Isıtmıyor,Üfleme (27.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+38.00,+29.00,9.0,15.0,20.0
AHU:AHU-07,AHU,AHU-07,IN_BAND,CRITICAL,10.00,7.00,5.00,,±5.0,NOT_HEATING,17.0,9.0,KRİTİK: Isıtmıyor,Üfleme (19.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+46.00,+29.00,9.0,15.0,20.0
AHU:AHU-08,AHU,AHU-08,IN_BAND,CRITICAL,10.00,1.00,5.00,,±5.0,NOT_HEATING,22.0,9.0,KRİTİK: Isıtmıyor,Üfleme (24.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+41.00,+32.00,9.0,15.0,20.0
AHU:AHU-09,AHU,AHU-09,IN_BAND,CRITICAL,10.00,3.00,5.00,,±5.0,NOT_HEATING,25.0,9.0,KRİTİK: Isıtmıyor,Üfleme (27.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+38.00,+31.00,9.0,15.0,20.0
AHU:AHU-10,AHU,AHU-10,IN_BAND,CRITICAL,10.00,5.00,5.00,,±5.0,NOT_HEATING,16.0,9.0,KRİTİK: Isıtmıyor,Üfleme (18.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+47.00,+32.00,9.0,15.0,20.0
AHU:AHU-11,AHU,AHU-11,IN_BAND,WARNING,10.00,7.00,10.00,,±5.0,NOT_HEATING,29.5,9.0,Isıtma Verimliliği Düşük,"Isıtma ΔT hedefi 25°C, ölçülen 10.0°C.",,HEAT_EFF_LOW,Inlet/Outlet (Water),+46.00,+29.00,9.0,15.0,20.0
AHU:AHU-12,AHU,AHU-12,IN_BAND,WARNING,10.00,2.00,10.00,,±5.0,NOT_HEATING,29.5,9.0,Isıtma Verimliliği Düşük,"Isıtma ΔT hedefi 25°C, ölçülen 10.0°C.",,HEAT_EFF_LOW,Inlet/Outlet (Water),+41.00,+29.00,9.0,15.0,20.0
AHU:AHU-13,AHU,AHU-13,IN_BAND,WARNING,10.00,4.00,10.00,,±5.0,NOT_HEATING,29.5,9.0,Isıtma Verimliliği Düşük,"Isıtma ΔT hedefi 25°C, ölçülen 10.0°C.",,HEAT_EFF_LOW,Inlet/Outlet (Water),+46.00,+32.00,9.0,15.0,20.0
