Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Valve Δ%,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C)
AHU:AHU:AHU-23,AHU,AHU:AHU-23,MISSING_DATA,CRITICAL,,16.00,4.60,,N/A,NOT_COOLING,16.5,9.0,KRİTİK: Soğutmuyor,Üfleme (29.5°C) > 18.0°C. Vana veya chiller kontrolü gerekli.,,NOT_COOLING,,,,,,16.0
AHU:AHU:AHU-4,AHU,AHU:AHU-4,MISSING_DATA,CRITICAL,,10.00,4.60,,N/A,NOT_COOLING,16.5,9.0,KRİTİK: Soğutmuyor,Üfleme (29.5°C) > 18.0°C. Vana veya chiller kontrolü gerekli.,,NOT_COOLING,,,,,,16.0
AHU:AHU:AHU-3,AHU,AHU:AHU-3,MISSING_DATA,WARNING,,23.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Düşük,Üfleme (-4.0°C) < 15.0°C. Aşırı soğutma/donma riski.,,SAT_LOW,,,,,,16.0
AHU:AHU:AHU-5,AHU,AHU:AHU-5,MISSING_DATA,WARNING,,20.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Düşük,Üfleme (-1.0°C) < 15.0°C. Aşırı soğutma/donma riski.,,SAT_LOW,,,,,,16.0
AHU:AHU:AHU-10,AHU,AHU:AHU-10,MISSING_DATA,WARNING,,20.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Düşük,Üfleme (-3.0°C) < 15.0°C. Aşırı soğutma/donma riski.,,SAT_LOW,,,,,,16.0
AHU:AHU:AHU-12,AHU,AHU:AHU-12,MISSING_DATA,WARNING,,18.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Düşük,Üfleme (-2.0°C) < 15.0°C. Aşırı soğutma/donma riski.,,SAT_LOW,,,,,,16.0
AHU:AHU:AHU-13,AHU,AHU:AHU-13,MISSING_DATA,WARNING,,16.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Düşük,Üfleme (-1.0°C) < 15.0°C. Aşırı soğutma/donma riski.,,SAT_LOW,,,,,,16.0
AHU:AHU:AHU-15,AHU,AHU:AHU-15,MISSING_DATA,WARNING,,18.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Düşük,Üfleme (-1.0°C) < 15.0°C. Aşırı soğutma/donma riski.,,SAT_LOW,,,,,,16.0
AHU:AHU:AHU-21,AHU,AHU:AHU-21,MISSING_DATA,WARNING,,22.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Düşük,Üfleme (-4.0°C) < 15.0°C. Aşırı soğutma/donma riski.,,SAT_LOW,,,,,,16.0
AHU:AHU:AHU-27,AHU,AHU:AHU-27,MISSING_DATA,WARNING,,5.00,4.60,,N/A,WARNING,,5.0,UYARI: SAT Yüksek,Üfleme (32.0°C) > 31.0°C. Aşırı ısıtma.,,SAT_HIGH,,,,,,16.0
