Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C),Tekrar (Bu Ay)
AHU:Ahu-16,AHU,Ahu-16,HIGH,WARNING,12.12,12.12,8.00,+4.12,,WARNING,16.5,9.2,UYARI: SAT Düşük,Üfleme (12.4°C) < 15°C. Aşırı soğutma/donma riski.,SAT_LOW,Supply/Return (Air),+4.31,+15.27,7.06,9.24,24.7,
AHU:Ahu-19,AHU,Ahu-19,MISSING_DATA,WARNING,,,6.47,+12.26,N/A,WARNING,16.5,9.2,UYARI: SAT Düşük,Üfleme (9.7°C) < 15°C. Aşırı soğutma/donma riski.,SAT_LOW,,+1.66,,7.06,9.24,24.7,
AHU:Ahu-20,AHU,Ahu-20,HIGH,WARNING,11.00,11.00,4.97,+6.03,,WARNING,16.5,9.2,UYARI: SAT Düşük,Üfleme (10.0°C) < 15°C. Aşırı soğutma/donma riski.,SAT_LOW,Supply/Return (Air),+1.92,+11.76,7.06,9.24,24.7,
AHU:Ahu-5,AHU,Ahu-5,LOW,WARNING,3.70,3.70,8.00,-4.30,,WARNING,20.8,9.2,UYARI: SAT Hedefin Üstünde (Soğutuyor),"Üfleme (22.8°C) > 18.0°C ama emişten (26.5°C) soğuk — santral soğutuyor, hedefe inemiyor. Kapasite/set/SAT limiti kontrol edin.",SAT_WARNING,Supply/Return (Air),+14.72,+17.26,7.06,9.24,24.7,
AHU:Ahu-6,AHU,Ahu-6,TERS,CRITICAL,-1.89,-1.89,8.00,-9.89,,NOT_COOLING,16.5,9.2,KRİTİK: Soğutmuyor,"Üfleme (27.6°C) > 18.0°C, vana %100 açık ve üfleme emişten (25.7°C) soğuk değil — hava soğumuyor. Vana veya chiller kontrolü gerekli.",NOT_COOLING,Supply/Return (Air),+19.54,+16.49,7.06,9.24,24.7,
AHU:Ahu-9,AHU,Ahu-9,LOW,WARNING,2.50,2.50,7.44,-4.94,,WARNING,19.0,9.2,UYARI: Soğutma Etkisi Zayıf (Hava ΔT düşük),Cool valve yüksek (%100) ama hava ΔT düşük (2.5°C). Return 23.5°C → Supply 21.0°C. Önce AHU SAT setpoint ve sensörleri doğrula; sonra su tarafı setpoint zincirini kontrol et.,AIR_DT_LOW_COOL,Supply/Return (Air),+12.89,+14.23,7.06,9.24,24.7,
AHU:Ahu-16,AHU,Ahu-16,MISSING_DATA,CRITICAL,,,6.47,+7.20,N/A,OPTIMAL,,7.2,Veri Eksik,,MISSING_DATA,,+6.72,,7.06,9.24,24.7,
AHU:Ahu-17,AHU,Ahu-17,MISSING_DATA,CRITICAL,,,6.47,+7.02,N/A,OPTIMAL,,7.2,Veri Eksik,,MISSING_DATA,,+6.90,,7.06,9.24,24.7,
AHU:Ahu-18,AHU,Ahu-18,MISSING_DATA,CRITICAL,,,6.47,+7.17,N/A,OPTIMAL,,7.2,Veri Eksik,,MISSING_DATA,,+6.75,,7.06,9.24,24.7,
AHU:Ahu-1,AHU,Ahu-1,LOW,WARNING,1.12,1.12,8.00,-6.88,,VALVE_LOW,22.5,6.0,Düşük ΔT,ΔT (1.1) < Hedef (8.0),LOW_DT,Supply/Return (Air),+16.39,+16.35,7.06,9.24,24.7,
